"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"16-111-503";"0-0";Tehnička škola Županja;Jozo;Jurkić
"13-353-002";"0-0";Osnovna škola Galovac;Josip;Lučić
"14-060-004";"0-0";Osnovna škola Antuna Mihanovića;Josip;Mandurić
"20-604-001";"0-0";Osnovna škola Gornji Mihaljevec;Karmen;Sklepić
"08-048-001";"0-0";Osnovna škola Frane Petrića;Josip;Pope
"21-114-555";"0-0";Škola za montažu instalacija i metalnih konstrukcija;Josip;Rodin
"21-114-543";"0-0";Prehrambeno-tehnološka škola;Josip;Šestak
"03-076-003";"0-0";Osnovna škola "Braća Bobetko" Sisak";Karolina;Čutuk
"06-150-001";"0-0";Osnovna škola Koprivnički Bregi;Karolina;Vidović
"13-360-001";"0-0";Osnovna škola "Petar Zoranić";Kata;Knežević
"16-440-002";"0-0";Osnovna škola Josip Kozarac Soljani;Katarina;Marjanović
"17-126-009";"0-0";Osnovna škola Brda;Katarina;Zelić
"17-126-015";"0-0";Osnovna škola Split 3;Jure;Kunac
"01-153-001";"0-0";Osnovna škola Stjepan Radić;Jure;Mišković
"13-055-501";"0-0";Srednja škola Obrovac;Jurica;Ćurko
"16-437-002";"0-0";Osnovna škola Vođinci;Katica;Gudelj
"05-086-506";"0-0";Gospodarska škola Varaždin;Katica;Kalogjera  Novak
"21-114-050";"0-0";Osnovna škola Dragutina Domjanića;Karmen;Hlad
"18-494-001";"0-0";Osnovna škola Vitomir Širola-Pajo;Klara;Švraka
"21-114-111";"0-0";Osnovna škola Iver;Katarina;Rajković
"18-069-005";"0-0";Osnovna škola Tone Peruška Pula;Kristijan;Cinkopan
"10-307-001";"0-0";Osnovna škola Antuna Gustava Matoša;Kristina;Krmpotić
"13-107-007";"0-0";Osnovna škola Bartula Kašića;Katica;Skukan
"06-253-001";"0-0";Osnovna škola Andrije Palmovića;Krunoslav;Belaj
